iter	Passed	Remaining
0	5	6326
1	10	5768
2	14	5386
3	19	5185
4	23	5155
5	28	5081
6	31	4905
7	36	4854
8	40	4802
9	44	4725
10	48	4696
11	52	4683
12	56	4628
13	60	4606
14	64	4583
15	68	4538
16	72	4513
17	76	4520
18	80	4476
19	84	4467
20	88	4468
21	92	4442
22	96	4430
23	100	4431
24	104	4412
25	108	4406
26	112	4402
27	116	4384
28	120	4366
29	124	4371
30	128	4361
31	132	4344
32	136	4352
33	140	4337
34	144	4322
35	148	4327
36	153	4331
37	157	4313
38	161	4311
39	165	4303
40	168	4281
41	173	4284
42	177	4291
43	181	4284
44	186	4286
45	190	4297
46	195	4302
47	199	4297
48	203	4298
49	208	4301
50	212	4300
51	216	4284
52	220	4283
53	224	4276
54	228	4264
55	232	4263
56	236	4261
57	240	4249
58	244	4243
59	249	4244
60	253	4234
61	257	4229
62	261	4227
63	265	4219
64	269	4209
65	273	4208
66	277	4206
67	281	4195
68	285	4196
69	290	4195
70	294	4189
71	298	4181
72	302	4182
73	306	4181
74	310	4172
75	314	4167
76	319	4165
77	323	4158
78	326	4150
79	331	4149
80	335	4145
81	339	4137
82	343	4136
83	347	4132
84	351	4121
85	355	4113
86	359	4108
87	362	4098
88	367	4095
89	371	4091
90	374	4082
91	379	4078
92	382	4069
93	386	4062
94	390	4057
95	394	4047
96	398	4043
97	401	4036
98	405	4028
99	409	4023
100	414	4021
101	417	4013
102	421	4009
103	425	4005
104	429	3999
105	433	3993
106	437	3990
107	441	3985
108	445	3976
109	449	3974
110	453	3968
111	457	3960
112	461	3957
113	465	3951
114	468	3943
115	473	3940
116	477	3937
117	481	3931
118	485	3925
119	489	3920
120	493	3916
121	496	3909
122	501	3907
123	505	3903
124	508	3896
125	512	3890
126	516	3886
127	520	3879
128	524	3874
129	528	3870
130	532	3864
131	536	3857
132	540	3854
133	544	3849
134	547	3843
135	551	3839
136	556	3835
137	559	3829
138	563	3826
139	568	3822
140	572	3817
141	575	3812
142	580	3808
143	583	3802
144	587	3796
145	591	3795
146	596	3791
147	599	3783
148	603	3780
149	608	3778
150	611	3771
151	615	3767
152	620	3765
153	624	3761
154	628	3756
155	632	3752
156	636	3748
157	639	3742
158	644	3739
159	648	3734
160	651	3728
161	656	3725
162	660	3721
163	663	3714
164	667	3710
165	671	3706
166	675	3702
167	679	3697
168	683	3694
169	688	3691
170	691	3685
171	695	3681
172	699	3677
173	703	3672
174	707	3667
175	711	3664
176	715	3660
177	719	3654
178	723	3650
179	727	3647
180	731	3642
181	735	3637
182	739	3633
183	743	3630
184	747	3624
185	751	3621
186	755	3617
187	759	3611
188	763	3608
189	767	3602
190	771	3597
191	775	3594
192	779	3589
193	782	3584
194	786	3578
195	790	3573
196	794	3568
197	798	3564
198	802	3559
199	806	3555
200	810	3551
201	814	3546
202	818	3542
203	821	3537
204	825	3531
205	829	3527
206	833	3522
207	837	3518
208	841	3515
209	845	3511
210	849	3506
211	853	3502
212	857	3499
213	861	3495
214	865	3491
215	870	3488
216	874	3485
217	878	3479
218	882	3476
219	886	3472
220	889	3467
221	893	3462
222	897	3458
223	901	3453
224	905	3448
225	909	3444
226	913	3440
227	917	3435
228	921	3432
229	925	3428
230	929	3424
231	933	3421
232	938	3418
233	941	3413
234	945	3408
235	949	3404
236	953	3400
237	957	3395
238	961	3391
239	965	3386
240	968	3380
241	973	3377
242	977	3373
243	980	3367
244	984	3364
245	988	3360
246	992	3354
247	996	3351
248	1000	3346
249	1004	3341
250	1008	3339
251	1012	3334
252	1016	3329
253	1020	3326
254	1024	3322
255	1028	3317
256	1032	3313
257	1036	3309
258	1039	3304
259	1043	3300
260	1047	3296
261	1051	3291
262	1055	3287
263	1059	3283
264	1063	3280
265	1067	3275
266	1071	3271
267	1075	3267
268	1079	3262
269	1083	3258
270	1087	3254
271	1091	3249
272	1095	3244
273	1099	3241
274	1102	3236
275	1106	3231
276	1111	3229
277	1114	3223
278	1118	3219
279	1122	3215
280	1126	3211
281	1130	3206
282	1134	3203
283	1138	3198
284	1142	3194
285	1146	3191
286	1151	3188
287	1154	3183
288	1158	3179
289	1163	3176
290	1166	3171
291	1170	3167
292	1175	3164
293	1178	3159
294	1182	3155
295	1185	3148
296	1189	3142
297	1192	3137
298	1195	3131
299	1198	3125
300	1202	3119
301	1205	3113
302	1209	3108
303	1212	3102
304	1215	3096
305	1218	3090
306	1222	3085
307	1225	3079
308	1228	3074
309	1232	3068
310	1235	3063
311	1239	3057
312	1242	3052
313	1245	3046
314	1249	3041
315	1252	3035
316	1255	3030
317	1259	3024
318	1262	3019
319	1265	3014
320	1269	3008
321	1272	3003
322	1275	2998
323	1279	2993
324	1283	2988
325	1286	2983
326	1290	2979
327	1293	2974
328	1297	2969
329	1300	2964
330	1304	2959
331	1307	2954
332	1311	2950
333	1315	2945
334	1318	2940
335	1322	2935
336	1325	2930
337	1329	2925
338	1332	2921
339	1336	2916
340	1339	2911
341	1343	2906
342	1346	2901
343	1350	2896
344	1353	2891
345	1357	2887
346	1360	2882
347	1364	2877
348	1367	2872
349	1371	2868
350	1375	2864
351	1379	2860
352	1383	2856
353	1386	2852
354	1390	2848
355	1394	2843
356	1398	2839
357	1401	2834
358	1405	2830
359	1408	2825
360	1412	2821
361	1416	2816
362	1420	2812
363	1423	2808
364	1427	2804
365	1431	2799
366	1434	2795
367	1438	2790
368	1442	2786
369	1445	2782
370	1449	2778
371	1453	2773
372	1457	2769
373	1460	2765
374	1464	2760
375	1467	2755
376	1471	2751
377	1475	2747
378	1479	2743
379	1482	2739
380	1486	2734
381	1490	2730
382	1493	2726
383	1497	2721
384	1501	2717
385	1504	2713
386	1508	2708
387	1512	2704
388	1516	2700
389	1519	2696
390	1523	2692
391	1527	2687
392	1530	2683
393	1534	2679
394	1538	2675
395	1542	2671
396	1545	2667
397	1549	2663
398	1553	2659
399	1557	2655
400	1561	2651
401	1564	2646
402	1568	2642
403	1572	2638
404	1575	2634
405	1579	2630
406	1583	2626
407	1587	2622
408	1591	2618
409	1594	2613
410	1598	2609
411	1602	2605
412	1605	2601
413	1609	2597
414	1613	2593
415	1617	2589
416	1621	2585
417	1624	2581
418	1628	2576
419	1632	2573
420	1636	2569
421	1640	2564
422	1643	2560
423	1647	2556
424	1651	2552
425	1654	2548
426	1658	2544
427	1662	2540
428	1666	2535
429	1670	2532
430	1673	2528
431	1677	2524
432	1681	2520
433	1685	2516
434	1689	2512
435	1692	2507
436	1696	2503
437	1699	2499
438	1703	2495
439	1707	2491
440	1711	2487
441	1714	2483
442	1718	2479
443	1722	2474
444	1725	2470
445	1729	2466
446	1733	2462
447	1736	2457
448	1740	2453
449	1744	2449
450	1747	2445
451	1751	2441
452	1755	2437
453	1759	2433
454	1762	2429
455	1766	2424
456	1769	2420
457	1773	2416
458	1777	2412
459	1780	2408
460	1784	2403
461	1788	2399
462	1791	2395
463	1795	2391
464	1799	2387
465	1802	2383
466	1806	2379
467	1810	2375
