dataset,target,binning,n_bins,epsilon,split,fingerprint,auc_ratio_shipped,auc_ratio_1_way_only,auc_log,auc_log_1_way_only,auc_log_2_way_only,auc_log_inverse_variance,auc_log_class_centred,auc_log_1_way_only_class_centred,auc_log_2_way_only_class_centred
COMBINED,pgm@epsilon=0.1,quantile,4,0.1,4,0fcf4c9d060bf393,0.4994341786857688,0.5288465141927126,0.5028625673230328,0.5347868014733439,0.49982667330527986,0.5012514321201802,0.5118685286905871,0.5370591211332756,0.5068935841015921
COMBINED,pgm@epsilon=0.3,quantile,4,0.3,5,67a272722d3064b0,0.504190959172529,0.5072619869797522,0.5047567804867603,0.5030469360658721,0.5043405287334168,0.5046128992536913,0.5155579111924877,0.5029064009079909,0.5150817646932854
COMBINED,pgm@epsilon=0.3,quantile,4,0.3,1,cd7c6afc2c679e5f,0.5019888538598609,0.5083746493846889,0.5143412109642715,0.5046781025485011,0.5143552522925812,0.5143211519238292,0.5272555555184093,0.506325618403501,0.5274120160338597
COMBINED,pgm@epsilon=0.3,quantile,4,0.3,3,cfc6df28516a9753,0.504612242032382,0.5135609142910633,0.5108693253810381,0.5132242567289722,0.5108703283330603,0.5108847039787107,0.5116960921646044,0.5166172434197989,0.5109746353433606
COMBINED,pgm@epsilon=0.1,quantile,4,0.1,2,e40b6bd531c8f9e3,0.5001755166038707,0.5045671091913867,0.4997696553522535,0.5106172501061458,0.49921702878806623,0.49950186716234785,0.49821340813126636,0.5122911770310614,0.4962713586991043
COMBINED,pgm@epsilon=0.3,quantile,4,0.3,4,d9f3c73e5b6966ca,0.5035274324628185,0.5342584562012143,0.5076461164112942,0.538343010182776,0.5060440156114483,0.5068008978188944,0.5168883106870964,0.5414331106185688,0.51360413789042
COMBINED,pgm@epsilon=0.1,quantile,4,0.1,1,82c7aa94b360f282,0.4989796634761648,0.506435943125934,0.49788143101194515,0.5059157453437952,0.49746854909617305,0.4977149409762735,0.5084070781667374,0.5080089062139563,0.50794906340997
COMBINED,pgm@epsilon=0.1,quantile,4,0.1,3,8644d0c47098b0e6,0.5062855003226162,0.5088035785328149,0.5084044036280118,0.5097754390422478,0.5082272154374375,0.5083308538130564,0.5076856213454936,0.5131828013787247,0.5061908885151964
COMBINED,pgm@epsilon=0.3,quantile,4,0.3,2,5f4630d3fba55248,0.5019346944506664,0.5097610633965974,0.49732512695701014,0.5138564508202476,0.4962101786257551,0.4968086066656192,0.49367672181788397,0.516459111317645,0.49239461481627594
COMBINED,pgm@epsilon=0.1,quantile,4,0.1,5,647e552f9cd77867,0.5031633794824023,0.5042752802672577,0.5038516671485015,0.5026353688177915,0.5031821175034532,0.5035612278222137,0.5033447367575727,0.5022509047787308,0.5025018604178044
COMBINED,pgm@epsilon=1,quantile,4,1.0,3,0a25ed2c99cfa0e9,0.5123152478795923,0.5338359237355284,0.5300868890768495,0.5342695333264241,0.5283711724843456,0.5291558152829829,0.5425659524533878,0.5392689148393438,0.5403684845729264
COMBINED,pgm@epsilon=1,quantile,4,1.0,2,92ef5fc33797a2fe,0.5097667467913893,0.5282377798654039,0.5156132884456583,0.5292380573487966,0.5136311209326117,0.5146497858697432,0.5168101445253863,0.5338984410782402,0.5135304914130592
COMBINED,pgm@epsilon=1,quantile,4,1.0,5,f809e6bff08df303,0.5124945793581961,0.5246860043043912,0.5240050780037048,0.52358648399773,0.5227941333932951,0.5234690367586436,0.5430910908740484,0.5271697959161822,0.5411818203719765
COMBINED,pgm@epsilon=1,quantile,4,1.0,4,d732ae5c06372b77,0.5093402342788003,0.5522011151799386,0.5205007334596812,0.5534916963798143,0.5174932810810232,0.5190120646086965,0.5314216536571263,0.5585897765357146,0.526107417044104
COMBINED,pgm@epsilon=3,quantile,4,3.0,2,e481225dd14c81f3,0.5295957769033522,0.5696496688586741,0.5305559363058603,0.5697843987469786,0.5267965378096197,0.5286008484974107,0.5382733177987209,0.5796243610359826,0.5330409170993291
COMBINED,pgm@epsilon=3,quantile,4,3.0,3,cf03cdc2b8ec7244,0.530998906782296,0.5852813447580713,0.5419143679563515,0.5859335978897889,0.5375157547046808,0.5396249628071959,0.5484753457677096,0.5907574627988379,0.5435267804905772
COMBINED,pgm@epsilon=3,quantile,4,3.0,4,4df999eab9d2ef23,0.5283904441446361,0.5909392968423758,0.5368376109558533,0.5910620978017624,0.5316301141413168,0.5340356075937169,0.5436395125973039,0.6032565342156264,0.5367194945017293
COMBINED,pgm@epsilon=3,quantile,4,3.0,1,27a22260fba7c29e,0.5373485960343277,0.5679901175794088,0.5452424970830811,0.5682706098282612,0.5423570041154464,0.5437367317805407,0.5481196321171983,0.5739419691960002,0.544193743585286
COMBINED,pgm@epsilon=1,quantile,4,1.0,1,054f2a4a03cf7188,0.5114985106162472,0.528246806433603,0.5281137481320018,0.5278004927837602,0.5263468809863698,0.5272418485074402,0.539685139928523,0.5301855126923578,0.53810716208039
COMBINED,pgm@epsilon=3,quantile,4,3.0,5,756b7e63827d16a9,0.527596755110126,0.561912429197049,0.5321286793442763,0.5614175446767959,0.5279946034499374,0.5299339886286981,0.5450595869069417,0.5745351632349319,0.5393441558789203
COMBINED,pgm@epsilon=30,quantile,4,30.0,3,e9e38fec1ec5f30a,0.5341150787150178,0.6259915016531993,0.536633825559898,0.6262495946402244,0.5323351731930983,0.5330913990177757,0.5400067532102822,0.6540417294904669,0.5346322676410903
COMBINED,pgm@epsilon=30,quantile,4,30.0,1,f638cb5246d529f5,0.5389349318159784,0.6151422353126035,0.544721630666261,0.6155176736862165,0.5407131657511943,0.5414379657458452,0.5451779738363249,0.6462835612820401,0.5400281495200874
COMBINED,pgm@epsilon=30,quantile,4,30.0,2,84da3d9cd75379ad,0.5286302684233928,0.6145752331027658,0.5304205377828743,0.6149941327306705,0.5261559857848266,0.5269416315354861,0.5409655753434275,0.6511398549731376,0.5355158683725766
COMBINED,pgm@epsilon=100,quantile,4,100.0,2,0d7e7ab74c50bd9a,0.5320683879552148,0.6235215651400623,0.5338365923702096,0.6239575149523431,0.5292213414817613,0.5297910182303246,0.5461718992902442,0.6602302777842783,0.5403243546839531
COMBINED,pgm@epsilon=100,quantile,4,100.0,3,184847f38a13d008,0.536879548805317,0.627260235961179,0.5398111775659691,0.6275520949996156,0.535287863946215,0.5358498513959421,0.5439904786421368,0.6563381553037775,0.538160652854903
COMBINED,pgm@epsilon=30,quantile,4,30.0,5,08640fe65c865610,0.5262322256486032,0.6117548959772146,0.5313038718105212,0.6119278880644159,0.5263787837418222,0.5272460864304604,0.5372762814129538,0.6422356332915744,0.5314728486074973
COMBINED,pgm@epsilon=100,quantile,4,100.0,1,177eea4f103038e2,0.5427979686878379,0.6177057806811381,0.5475787066599358,0.6180775415640034,0.5434629258785024,0.5439847952473447,0.5500372763834888,0.6530722092024192,0.5444377952440015
COMBINED,pgm@epsilon=30,quantile,4,30.0,4,291c1b079eb667c1,0.5322712221472702,0.6251783458075016,0.5326720819547504,0.6257150562676004,0.5277633896544709,0.5287012945295686,0.540990424871243,0.66957239835962,0.534999946462797
COMBINED,pgm@epsilon=100,quantile,4,100.0,4,85097a1644c46b7f,0.5363892368807084,0.6323754189286135,0.5372371323332583,0.6328984104804428,0.5320584117653357,0.5327510493291789,0.5458378839955884,0.678519134196353,0.5393843087811719
COMBINED,pgm@epsilon=100,quantile,4,100.0,5,6d8eaa5aa11e37e0,0.5286343730258156,0.6156657886565374,0.5342042497831743,0.6159425090745558,0.5288284453866993,0.5295147254076857,0.5414300991509,0.6457536967438673,0.5350263804567794
COMBINED,pgm@epsilon=300,quantile,4,300.0,2,591c2f879447ee1c,0.5320530093575424,0.623432971044775,0.5336042418184188,0.6238639060969453,0.5290267687894704,0.5296225222906087,0.5459749863765684,0.6605793050879756,0.540116409298034
COMBINED,pgm@epsilon=300,quantile,4,300.0,3,d320ec5424b0c81f,0.5362794491787495,0.6243078795254031,0.5400177856825256,0.6246258153164146,0.535428945863993,0.5359661938305078,0.5435307922986657,0.651594526556498,0.5378470631893206
COMBINED,pgm@epsilon=300,quantile,4,300.0,1,77cb8c824f9bfc24,0.5439520321479555,0.6248564942815019,0.5500265782285861,0.6251757673418763,0.545522655014593,0.5460284771510813,0.5492155243600331,0.6578044711601145,0.5437206845481868
COMBINED,pgm@epsilon=300,quantile,4,300.0,5,8db730942a7fa9a6,0.5282120983371346,0.6135835260672642,0.5333121861381473,0.6138438507168631,0.5280210374439198,0.5286350422408532,0.5407260849314188,0.6444647885815853,0.5345114194854004
COMBINED,pgm@epsilon=1000,quantile,4,1000.0,1,291d9af988a183f9,0.5411494498808158,0.6166948050428428,0.5459331967089801,0.6170281194315268,0.5418374749679891,0.5422583804999381,0.548571629161833,0.6531277058809764,0.5430286476529251
COMBINED,pgm@epsilon=1000,quantile,4,1000.0,2,b3e09614daf11333,0.5306365067849704,0.6188956160967114,0.5316561746741242,0.6193609858349742,0.5272736086548073,0.5277971496103531,0.5448690646135125,0.6567329840831514,0.5389673605980269
COMBINED,pgm@epsilon=300,quantile,4,300.0,4,236f79959299bc1a,0.5347998511665757,0.629005921214652,0.5361074973499085,0.6295031479875366,0.5309441687278489,0.5315417777563629,0.545662215048237,0.6751288908162282,0.5392708768323108
COMBINED,pgm@epsilon=1000,quantile,4,1000.0,3,68214303b7b02a12,0.5360598026859055,0.6238204448426535,0.5384097192737289,0.6241497474232491,0.5340345082359077,0.5345466824018694,0.5424974173985431,0.6541085929586081,0.5368307384735739
COMBINED,pgm@epsilon=1000,quantile,4,1000.0,4,ee890249983ead73,0.5363561107363507,0.6366292843146703,0.5376717875001339,0.6371726869251443,0.5320500465773665,0.5326329328750549,0.543771682567216,0.6820656392877411,0.5376784796505091
COMBINED,pgm@epsilon=1000,quantile,4,1000.0,5,aae04558c15c5c54,0.5273411149657897,0.614258094825094,0.5329314027817931,0.6145391651408564,0.5276402540875654,0.5282040677566842,0.5401676249826004,0.6459437538145257,0.5339680168749263
BRCA,pgm@epsilon=0.1,quantile,4,0.1,1,84fade3166ea60ac,0.5172110513066284,0.5584164568828406,0.5125080314728404,0.5508273733660561,0.5070834957183034,0.5104224818041058,0.5332634639084043,0.552760193387333,0.5245210082263349
BRCA,pgm@epsilon=0.1,quantile,4,0.1,2,c5e6af44b84340fe,0.5401046988066021,0.594655515646889,0.5277177977438144,0.5995639305238101,0.5164421365297718,0.5220194019317668,0.5413844679215075,0.5958668197474168,0.5207133001190238
BRCA,pgm@epsilon=0.1,quantile,4,0.1,4,d5119fafb64dd9fe,0.5058669250782082,0.5266328905929071,0.5007531151581542,0.5101012228904875,0.49779858646078007,0.4995207448993564,0.4991257544317931,0.5132664131705622,0.49702967168392337
BRCA,pgm@epsilon=0.3,quantile,4,0.3,1,d7cddd14020a2c9a,0.5197337237594666,0.5431276925183539,0.5076522819915946,0.5178009037381899,0.5061249855170162,0.5069202329917105,0.522145798881387,0.5186909489250993,0.5172215843857635
BRCA,pgm@epsilon=0.1,quantile,4,0.1,3,a48621d98f445f2b,0.5134349424367225,0.5412844036697247,0.512976753494349,0.5457135634460022,0.5106384099263738,0.5115495212715533,0.5476253173090089,0.5470565310357176,0.5408788801230264
