tstr_accuracy,tstr_macro_f1,real_accuracy,real_macro_f1,utility_ratio,wasserstein_mean,wasserstein_p90,corr_mae,corr_frobenius,corr_real_mean_abs,corr_syn_mean_abs,discriminator_auc,dataset,generator,split,n_syn,fingerprint
0.8211009174311926,0.707926404304357,0.8807339449541285,0.8114126771990946,0.8724616020888896,0.24147336744824202,0.2958485977383837,0.0475968812248081,0.05895286841649523,0.1696041440364968,0.14472256080209842,0.9629072600801152,BRCA,mvn,1,871,e2c665ece9c0033e
0.8348623853211009,0.6920091436308919,0.8807339449541285,0.7323555529567958,0.9449087138576199,0.2387918613602627,0.2975200277608182,0.04855824772150928,0.06029667596205543,0.1721914620859308,0.14803638634314725,0.9609156992779827,BRCA,mvn,2,871,554e7bbec0206292
0.8165137614678899,0.671354147961249,0.8761467889908257,0.8356450749337123,0.8033962840198685,0.24205138744517937,0.30162278629738015,0.052142491309040896,0.0647693739544633,0.16813150565699717,0.14242071884841526,0.9665500624495195,BRCA,mvn,3,871,7c277a3f655c5c9b
0.7981651376146789,0.6540844644903752,0.8715596330275229,0.7674759680310916,0.8522540010840798,0.24906795620836383,0.30600671201826957,0.04510603637291322,0.056712494271615045,0.16957133016987266,0.15217114000549864,0.960298913228538,BRCA,mvn,4,871,08901d46b662e814
0.8571428571428571,0.799502286902287,0.9124423963133641,0.8429884399999341,0.9484142948654782,0.24571965285765393,0.30358089700937335,0.04719448133365232,0.0588097964865522,0.1699233035796789,0.14749529628411212,0.9582206623451066,BRCA,mvn,5,872,5a6c755110702445
0.8486238532110092,0.7799940919295758,0.8807339449541285,0.8114126771990946,0.9612791540576218,0.17267192050246205,0.23442099445027417,0.06933685640356484,0.08654330854390609,0.1696041440364968,0.17318755989570317,0.8975688408906105,BRCA,cvae,1,871,03407e1b1fd9c1f2
0.8348623853211009,0.6819511249273521,0.8807339449541285,0.7323555529567958,0.9311749220362405,0.17686255611091997,0.24478694869220882,0.07681350956962173,0.09564630858588746,0.1721914620859308,0.1882684780618812,0.9084612356696401,BRCA,cvae,2,871,80b04875d6de6732
0.8623853211009175,0.8150477376504774,0.8761467889908257,0.8356450749337123,0.9753515722151911,0.17498998383183492,0.2449805444098496,0.07782017728492789,0.09745517394962849,0.16813150565699717,0.18526729034906136,0.9211956120529615,BRCA,cvae,3,871,f33db8b7c293715b
0.8165137614678899,0.7068059476755129,0.8715596330275229,0.7674759680310916,0.9209486382860643,0.18442945904747965,0.2516148725921979,0.07344239887973855,0.09201616359943837,0.16957133016987266,0.17665817650016089,0.9155378762804877,BRCA,cvae,4,871,3894c5432c7e0af8
0.8986175115207373,0.8449698765960661,0.9124423963133641,0.8429884399999341,1.0023504908277654,0.17619584602145869,0.23960770534183856,0.06394286742705858,0.08035922367797993,0.1699233035796789,0.163937341606314,0.8978376183125122,BRCA,cvae,5,872,160692e54089317e
0.8211009174311926,0.73965519912344,0.8807339449541285,0.8114126771990946,0.9115647560211244,0.19696131349843796,0.3238072571670793,0.09908747937642137,0.11953417966176992,0.1696041440364968,0.2548941109520331,0.9616923479248644,BRCA,nd,1,871,55d876cf95d22403
0.7844036697247706,0.6509975769550238,0.8807339449541285,0.7323555529567958,0.8889091839704101,0.2076761296083648,0.33706019599535936,0.09394326597238103,0.1140704243544548,0.1721914620859308,0.25200196343575265,0.9562593759406587,BRCA,nd,2,871,45880ca0894f23cc
0.8211009174311926,0.7102609558048719,0.8761467889908257,0.8356450749337123,0.8499552945503969,0.21356774931056674,0.3494949816169444,0.10858472694799075,0.1309097444893517,0.16813150565699717,0.2652217754502637,0.9572161270946468,BRCA,nd,3,871,07ab2e670212e960
0.8073394495412844,0.7479484950178439,0.8715596330275229,0.7674759680310916,0.9745562417239667,0.19190076246144214,0.29650658356595627,0.09529460390544353,0.11529058268024917,0.16957133016987266,0.2503188575688313,0.9627415543324439,BRCA,nd,4,871,be4c65a65fe43617
0.8571428571428571,0.7937688040681427,0.9124423963133641,0.8429884399999341,0.9416129170978961,0.18474421742526595,0.2837329027997982,0.0944306684122791,0.11362012988877773,0.1699233035796789,0.252913482641014,0.9499494587326853,BRCA,nd,5,872,abffcc13cf24f1fb
0.9595375722543352,0.9527592234408105,0.9734104046242774,0.9732831161743244,0.9789127208800386,0.18339702876664957,0.23534003172909473,0.03942078838136954,0.04865485603153864,0.18044775949763153,0.1521529952416405,0.9798195084992933,COMBINED,mvn,1,3458,05a3560e4c3528fb
0.9595375722543352,0.949964188073637,0.9653179190751445,0.9587937703864919,0.9907909473490888,0.1826170126144918,0.23306610138497597,0.037764785655169504,0.04659527300567843,0.18005387949505539,0.15246901969380533,0.9805186641624628,COMBINED,mvn,2,3458,1cc169391e821734
0.9595375722543352,0.9528191630651343,0.9583815028901734,0.9579162099773969,0.9946790263499321,0.18074374786816919,0.2330375670910973,0.038900758122031004,0.047941553022642074,0.18007750841561046,0.15183228458770345,0.9788070620363802,COMBINED,mvn,3,3458,a67daa89a6110c05
0.9722222222222222,0.9691129337782775,0.9756944444444444,0.9724009416806574,0.9966186705900376,0.1880412009064943,0.24091209591723825,0.038219920481600875,0.047248812763816955,0.1795848229693949,0.1533289868055885,0.9839334621625099,COMBINED,mvn,4,3459,0ea1c8c1fd5dcf0e
0.9710648148148148,0.9685305099736845,0.9803240740740741,0.9793127417500166,0.9889900015422404,0.18300449225576815,0.23556858506726647,0.03907492402130584,0.04808025722906672,0.17941551858688645,0.15210168187481476,0.9807044583971775,COMBINED,mvn,5,3459,125d2a5cb0eb0b84
0.9479768786127167,0.9435559214442627,0.9734104046242774,0.9732831161743244,0.9694567857635196,0.1762175651096204,0.22584946605626408,0.060027174292269746,0.07377338228350373,0.18044775949763153,0.22328420342595431,0.9853789968975493,COMBINED,cvae,1,3458,9ba57dff0b3eec8e
0.945664739884393,0.9336801715135591,0.9653179190751445,0.9587937703864919,0.9738070900660842,0.18396036272667995,0.23529514513369326,0.06312898678567971,0.0776126034504827,0.18005387949505539,0.2246315773027588,0.9890647299138885,COMBINED,cvae,2,3458,1c72c4cd144e688b
0.9317919075144508,0.9265894485795348,0.9583815028901734,0.9579162099773969,0.967296971205236,0.19140100818000638,0.24584792911720585,0.06995495489732459,0.08591319159547635,0.18007750841561046,0.23184490435778152,0.9940101860181926,COMBINED,cvae,3,3458,0e71ff88b50ee25a
0.9421296296296297,0.92984968558341,0.9756944444444444,0.9724009416806574,0.9562410377516669,0.187538843953296,0.24050111927122408,0.06270039375848542,0.0770737409291495,0.1795848229693949,0.22174144347067096,0.9882035300397897,COMBINED,cvae,4,3459,1425a8dcf925386f
0.9421296296296297,0.9266267437824904,0.9803240740740741,0.9793127417500166,0.9462010492446191,0.18976542894846898,0.24616497405387383,0.06922121119515312,0.0851139368751796,0.17941551858688645,0.22859018642218246,0.9913961767973589,COMBINED,cvae,5,3459,5328ee262bdbb112
