dataset,arm,auc,auc_sd,tpr_at_1,tpr_at_10,n_splits,n_bins,epsilon
BRCA,"log, class-centred",0.6705801840842456,0.0213910664109573,0.0401713205321311,0.2419582574073879,5,4,10.0
BRCA,"log, 1-way only, class-centred",0.6663299992821001,0.0094819787398308,0.0502696468258566,0.2293454217971539,5,4,10.0
BRCA,"ratio, 1-way only",0.6440764268572549,0.0142556137816227,0.04912786104762,0.2112077228536218,5,4,10.0
BRCA,"log, 1-way only",0.6436717673142829,0.0149520032967836,0.0484392609991678,0.210978628382435,5,4,10.0
BRCA,"log, 2-way only, class-centred",0.6389009996377495,0.0276074688877385,0.0330564889034011,0.20224354585576,5,4,10.0
BRCA,log,0.6252147886566796,0.0096131727342268,0.0202024457809751,0.1995002053950431,5,4,10.0
BRCA,"log, inverse-variance",0.6121478681217719,0.0116243013953559,0.0202027091079535,0.1859572988971866,5,4,10.0
BRCA,ratio (shipped),0.6041698506579267,0.0117124935644247,0.0160697921823486,0.1331515499425947,5,4,10.0
BRCA,"log, 2-way only",0.5992000344824857,0.0132984220343345,0.01997308798281,0.1657522198464277,5,4,10.0
COMBINED,"log, 1-way only, class-centred",0.5863771073708722,0.00517368205342,0.0166548200509947,0.1608265275905756,5,4,10.0
COMBINED,"log, 1-way only",0.5721327668498196,0.0062340585616511,0.0170594944228942,0.1552166492687787,5,4,10.0
COMBINED,"ratio, 1-way only",0.5719419510603234,0.0062750288865767,0.0171751849434781,0.154464836452329,5,4,10.0
COMBINED,"log, class-centred",0.5407217639273552,0.0032425378757882,0.0116240631601018,0.1197083709340065,5,4,10.0
COMBINED,"log, 2-way only, class-centred",0.536520825474249,0.0032802332713319,0.0113927322810328,0.1183782560009336,5,4,10.0
COMBINED,log,0.5312119579031072,0.006004147191428,0.0109299367572978,0.118089573122211,5,4,10.0
COMBINED,ratio (shipped),0.5296980688406976,0.0042459165655611,0.0106987898059245,0.1060032495007617,5,4,10.0
COMBINED,"log, inverse-variance",0.5291910455154243,0.0061199329241018,0.0106408024196858,0.116123269010474,5,4,10.0
COMBINED,"log, 2-way only",0.5282102768755443,0.0061835258301869075,0.010467308440558999,0.11485102441874251,5,4,10.0
