dataset,target,binning,n_bins,epsilon,split,fingerprint,attack_edges,white_box,edge_mae,edge_max,cell_agreement,auc_ratio_shipped,auc_ratio_1_way_only,auc_log,auc_log_1_way_only,auc_log_2_way_only,auc_log_inverse_variance,auc_log_class_centred,auc_log_1_way_only_class_centred,auc_log_2_way_only_class_centred
COMBINED,pgm@epsilon=0.1,quantile,4,0.1,4,0fcf4c9d060bf393,aux,False,0.006913769287758223,0.7269438295250152,0.9921651299677806,0.49830387448738134,0.5231180334714594,0.5032199281530736,0.5314654872420845,0.500560467593931,0.5017948347306543,0.5124825334875205,0.5334955510584305,0.5084137060593407
COMBINED,pgm@epsilon=0.1,quantile,4,0.1,4,0fcf4c9d060bf393,uniform,False,4.091186315572903,14.633116364479065,0.2873771196723475,0.5004025328450741,0.5002957930465881,0.5025915352328333,0.49839923763022925,0.5045503276476824,0.5037041052327262,0.5081794807962052,0.4981569817866435,0.5151399864015505
COMBINED,pgm@epsilon=0.1,quantile,4,0.1,4,0fcf4c9d060bf393,generator,True,0.0,0.0,1.0,0.4994341786857688,0.5288465141927126,0.5028625673230328,0.5347868014733439,0.49982667330527986,0.5012514321201802,0.5118685286905871,0.5370591211332756,0.5068935841015921
COMBINED,pgm@epsilon=0.3,quantile,4,0.3,5,67a272722d3064b0,aux,False,0.006637045617421004,0.7210254459266876,0.9923233647768842,0.5043318289379289,0.505917868576874,0.5244404023856177,0.5040407203966035,0.5244477637510306,0.5244507752186994,0.5463628831925305,0.5042063511183921,0.5469758841669076
COMBINED,pgm@epsilon=0.3,quantile,4,0.3,5,67a272722d3064b0,uniform,False,4.09072088447654,14.639034748077393,0.2875701235650657,0.5036980822973884,0.4959843751673038,0.5034521457710963,0.5027953112117611,0.5024238968659321,0.5029652918312936,0.508162750420267,0.499931740066172,0.5058663390189843
COMBINED,pgm@epsilon=0.3,quantile,4,0.3,5,67a272722d3064b0,generator,True,0.0,0.0,1.0,0.504190959172529,0.5072619869797522,0.5047567804867603,0.5030469360658721,0.5043405287334168,0.5046128992536913,0.5155579111924877,0.5029064009079909,0.5150817646932854
COMBINED,pgm@epsilon=0.3,quantile,4,0.3,1,cd7c6afc2c679e5f,aux,False,0.0066042693841110575,0.7229324369316315,0.9923590799580122,0.501956759395153,0.5060982826118208,0.5300059842803986,0.5054139350153953,0.5302781185957335,0.5301403798513624,0.555781182614161,0.5076682368437768,0.5569255508713982
COMBINED,pgm@epsilon=0.3,quantile,4,0.3,1,cd7c6afc2c679e5f,uniform,False,4.090203435468121,14.637127757072449,0.2879206526937525,0.4997091439135856,0.508731700304563,0.4963221749348917,0.50911850546776,0.495035053173173,0.49552984283741813,0.5045096066087852,0.5162311068912834,0.5000464701103582
COMBINED,pgm@epsilon=0.3,quantile,4,0.3,1,cd7c6afc2c679e5f,generator,True,0.0,0.0,1.0,0.5019888538598609,0.5083746493846889,0.5143412109642715,0.5046781025485011,0.5143552522925812,0.5143211519238292,0.5272555555184093,0.506325618403501,0.5274120160338597
COMBINED,pgm@epsilon=0.3,quantile,4,0.3,3,cfc6df28516a9753,aux,False,0.007280103400372827,0.7265786914711212,0.9912883340973071,0.5037945018170148,0.5102133947585727,0.5372372683598725,0.5119752471440941,0.537698626290047,0.5374355185429113,0.5501282107001608,0.515352186602567,0.5512926379978403
COMBINED,pgm@epsilon=0.3,quantile,4,0.3,3,cfc6df28516a9753,uniform,False,4.090129381999241,14.633481502532959,0.2879776550689303,0.4961583594379456,0.49363058602486654,0.5067839674776091,0.5007341608801907,0.5060223925754805,0.5065773593610527,0.5085264294573695,0.4993410605214682,0.5072078818656245
COMBINED,pgm@epsilon=0.3,quantile,4,0.3,3,cfc6df28516a9753,generator,True,0.0,0.0,1.0,0.504612242032382,0.5135609142910633,0.5108693253810381,0.5132242567289722,0.5108703283330603,0.5108847039787107,0.5116960921646044,0.5166172434197989,0.5109746353433606
COMBINED,pgm@epsilon=0.1,quantile,4,0.1,2,e40b6bd531c8f9e3,aux,False,0.006502964461706672,0.7277224449997162,0.9923860437371419,0.49986527011169546,0.5013693638275324,0.5005663335751562,0.509277974839277,0.49997459188210636,0.5002721343153348,0.4998863321041599,0.5107723733522334,0.4984541166165748
COMBINED,pgm@epsilon=0.1,quantile,4,0.1,2,e40b6bd531c8f9e3,uniform,False,4.0907049548609695,14.632337749004364,0.28761577277008366,0.5083823386835251,0.5119989836752843,0.5031322191650759,0.5118909991742362,0.5015281645643678,0.5023418929716466,0.5142649866105905,0.5138761755433493,0.5131306478735744
COMBINED,pgm@epsilon=0.1,quantile,4,0.1,2,e40b6bd531c8f9e3,generator,True,0.0,0.0,1.0,0.5001755166038707,0.5045671091913867,0.4997696553522535,0.5106172501061458,0.49921702878806623,0.49950186716234785,0.49821340813126636,0.5122911770310614,0.4962713586991043
COMBINED,pgm@epsilon=0.3,quantile,4,0.3,4,d9f3c73e5b6966ca,aux,False,0.006913769287758223,0.7269438295250152,0.9921651299677806,0.5024088395275877,0.5280103300033193,0.5285493827160493,0.5343849378433073,0.5273427880033836,0.5280043070679815,0.5508061364342081,0.5374770459242127,0.5489286536464189
COMBINED,pgm@epsilon=0.3,quantile,4,0.3,4,d9f3c73e5b6966ca,uniform,False,4.091186315572903,14.633116364479065,0.2873771196723475,0.49988021050828224,0.5001003822556295,0.5051803936055165,0.49829082479414943,0.5065422462068891,0.5059824478279956,0.507774271090981,0.49835941933549627,0.5073202086880173
COMBINED,pgm@epsilon=0.3,quantile,4,0.3,4,d9f3c73e5b6966ca,generator,True,0.0,0.0,1.0,0.5035274324628185,0.5342584562012143,0.5076461164112942,0.538343010182776,0.5060440156114483,0.5068008978188944,0.5168883106870964,0.5414331106185688,0.51360413789042
COMBINED,pgm@epsilon=0.1,quantile,4,0.1,1,82c7aa94b360f282,aux,False,0.0066042693841110575,0.7229324369316315,0.9923590799580122,0.49889073506353704,0.5045293313318868,0.4986874701203877,0.5064219017976244,0.4981836538879435,0.49844575868305707,0.510735264127415,0.5090519763169596,0.510184643467272
COMBINED,pgm@epsilon=0.1,quantile,4,0.1,1,82c7aa94b360f282,uniform,False,4.090203435468121,14.637127757072449,0.2879206526937525,0.49881116753644894,0.5085036958782015,0.4980201727083382,0.5081593490172741,0.4966939358177569,0.49734618894947463,0.5130758198296987,0.5153063851268902,0.5097881431011946
COMBINED,pgm@epsilon=0.1,quantile,4,0.1,1,82c7aa94b360f282,generator,True,0.0,0.0,1.0,0.4989796634761648,0.506435943125934,0.49788143101194515,0.5059157453437952,0.49746854909617305,0.4977149409762735,0.5084070781667374,0.5080089062139563,0.50794906340997
COMBINED,pgm@epsilon=0.1,quantile,4,0.1,3,8644d0c47098b0e6,aux,False,0.007280103400372827,0.7265786914711212,0.9912883340973071,0.5054894907343949,0.5058221364883975,0.5093294597097457,0.5089108943991816,0.5091505999324679,0.5092428715185028,0.5093498530675288,0.5124957792435736,0.5079283357348462
COMBINED,pgm@epsilon=0.1,quantile,4,0.1,3,8644d0c47098b0e6,uniform,False,4.090129381999241,14.633481502532959,0.2879776550689303,0.4984099867276016,0.49237990485328487,0.5075746279883792,0.4997910516620587,0.5073656796504378,0.5074004486538712,0.49969042214250614,0.4982518546254475,0.4953777284473969
COMBINED,pgm@epsilon=0.1,quantile,4,0.1,3,8644d0c47098b0e6,generator,True,0.0,0.0,1.0,0.5062855003226162,0.5088035785328149,0.5084044036280118,0.5097754390422478,0.5082272154374375,0.5083308538130564,0.5076856213454936,0.5131828013787247,0.5061908885151964
COMBINED,pgm@epsilon=0.3,quantile,4,0.3,2,5f4630d3fba55248,aux,False,0.006502964461706672,0.7277224449997162,0.9923860437371419,0.5019163069969277,0.5064693748600047,0.5199226389673606,0.512911670015412,0.5195428544683184,0.5198049592634321,0.5281271208256301,0.5154889223949157,0.5283430898277263
COMBINED,pgm@epsilon=0.3,quantile,4,0.3,2,5f4630d3fba55248,uniform,False,4.0907049548609695,14.632337749004364,0.28761577277008366,0.5079330161776161,0.511412256742345,0.5018280472189812,0.5112561305442352,0.49915451144535417,0.5005576413242978,0.51290598662062,0.513275741599441,0.5070724833426385
COMBINED,pgm@epsilon=0.3,quantile,4,0.3,2,5f4630d3fba55248,generator,True,0.0,0.0,1.0,0.5019346944506664,0.5097610633965974,0.49732512695701014,0.5138564508202476,0.4962101786257551,0.4968086066656192,0.49367672181788397,0.516459111317645,0.49239461481627594
COMBINED,pgm@epsilon=0.1,quantile,4,0.1,5,647e552f9cd77867,aux,False,0.006637045617421004,0.7210254459266876,0.9923233647768842,0.5029850336749007,0.5038118488537685,0.5049167228807299,0.5045449739273822,0.5041832631995974,0.5045871344747465,0.5056254216054736,0.504219400811624,0.5052921525167839
COMBINED,pgm@epsilon=0.1,quantile,4,0.1,5,647e552f9cd77867,uniform,False,4.09072088447654,14.639034748077393,0.2875701235650657,0.5029903873952009,0.49693198366044566,0.5021886677802405,0.5031141921771438,0.5014120437291875,0.5019169664750035,0.49828881714903694,0.5003346075187648,0.4946656869358518
COMBINED,pgm@epsilon=0.1,quantile,4,0.1,5,647e552f9cd77867,generator,True,0.0,0.0,1.0,0.5031633794824023,0.5042752802672577,0.5038516671485015,0.5026353688177915,0.5031821175034532,0.5035612278222137,0.5033447367575727,0.5022509047787308,0.5025018604178044
COMBINED,pgm@epsilon=1,quantile,4,1.0,3,0a25ed2c99cfa0e9,aux,False,0.007280103400372827,0.7265786914711212,0.9912883340973071,0.5107780567470255,0.52511124409512,0.5341134071283143,0.5265892610583819,0.5326534433014506,0.533400308240588,0.5498634313663215,0.5307217577068505,0.5485913538849346
COMBINED,pgm@epsilon=1,quantile,4,1.0,3,0a25ed2c99cfa0e9,uniform,False,4.090129381999241,14.633481502532959,0.2879776550689303,0.4972044383970152,0.4955819963425683,0.5057525984815306,0.5003814560857457,0.5080680803832615,0.5067672516105738,0.5046557032866738,0.49975996014937296,0.5067438493967243
COMBINED,pgm@epsilon=1,quantile,4,1.0,3,0a25ed2c99cfa0e9,generator,True,0.0,0.0,1.0,0.5123152478795923,0.5338359237355284,0.5300868890768495,0.5342695333264241,0.5283711724843456,0.5291558152829829,0.5425659524533878,0.5392689148393438,0.5403684845729264
COMBINED,pgm@epsilon=1,quantile,4,1.0,2,92ef5fc33797a2fe,aux,False,0.006502964461706672,0.7277224449997162,0.9923860437371419,0.5093765984547852,0.5214919245646352,0.5171872544857029,0.5234533644025582,0.5157964943483653,0.516462454491052,0.5196093836191189,0.5270469414978085,0.5175219061437498
COMBINED,pgm@epsilon=1,quantile,4,1.0,2,92ef5fc33797a2fe,uniform,False,4.0907049548609695,14.632337749004364,0.28761577277008366,0.5101836405152499,0.5092418685664807,0.5031994169505578,0.5072560235626862,0.5038566848423861,0.5030212258079614,0.5091088102648796,0.5101752825817322,0.5108586272261355
COMBINED,pgm@epsilon=1,quantile,4,1.0,2,92ef5fc33797a2fe,generator,True,0.0,0.0,1.0,0.5097667467913893,0.5282377798654039,0.5156132884456583,0.5292380573487966,0.5136311209326117,0.5146497858697432,0.5168101445253863,0.5338984410782402,0.5135304914130592
COMBINED,pgm@epsilon=1,quantile,4,1.0,5,f809e6bff08df303,aux,False,0.006637045617421004,0.7210254459266876,0.9923233647768842,0.5117293319627809,0.5193265956763355,0.5270995283372415,0.519405563050764,0.5264795006049704,0.5268191272365166,0.5461574341760089,0.5225625849903097,0.54530385039564
COMBINED,pgm@epsilon=1,quantile,4,1.0,5,f809e6bff08df303,uniform,False,4.09072088447654,14.639034748077393,0.2875701235650657,0.5046359871724861,0.49664489040934545,0.5030295364748965,0.5014401507607638,0.5023218415727089,0.5028033417922113,0.5064334987632906,0.4980900602828906,0.5069089760474554
COMBINED,pgm@epsilon=1,quantile,4,1.0,5,f809e6bff08df303,generator,True,0.0,0.0,1.0,0.5124945793581961,0.5246860043043912,0.5240050780037048,0.52358648399773,0.5227941333932951,0.5234690367586436,0.5430910908740484,0.5271697959161822,0.5411818203719765
COMBINED,pgm@epsilon=1,quantile,4,1.0,4,d732ae5c06372b77,aux,False,0.006913769287758223,0.7269438295250152,0.9921651299677806,0.5075604568864904,0.5403550051931088,0.5202999689484222,0.5425530419838746,0.5180393605516473,0.5191572842718405,0.5331836968509418,0.5468437141969955,0.5293581290889038
