architecture,knobs,dataset,epsilon,split,binning,n_bins,config,source,target,fingerprint,utility_ratio,corr_mae,wasserstein_mean,discriminator_auc,mahalamia_best,v2_blackbox,v2_blackbox_grid,v2_whitebox
Label-only star,forest k978 l0,BRCA,10.0,1,dp_quantile,16,dp_quantile16/k978_l0,pgm_forest_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,k_label=978,l_pairs=0,n_bins=16,structure=forest",c5989dbc1a650d90,0.5915567868915043,0.1457288472615921,0.4744454448770496,1.0,0.5224881239532753,0.5978049063082611,,0.7582921665490473
Label-only star,forest k978 l0,BRCA,10.0,1,dp_quantile,32,dp_quantile32/k978_l0,pgm_forest_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,k_label=978,l_pairs=0,n_bins=32,structure=forest",f7b8b88768d6aad0,0.5693256402557934,0.1494169254436778,0.4907721963426765,1.0,0.5241786831544465,0.5949873076396422,,0.7403701324008047
Label-only star,forest k978 l0,BRCA,1000.0,1,dp_quantile,16,dp_quantile16/k978_l0,pgm_forest_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000,k_label=978,l_pairs=0,n_bins=16,structure=forest",32a7a2051df7facb,0.8759716631980246,0.1342251505691082,0.0619551552971567,0.9979818794240752,0.53132537734756,0.9260577844721348,,0.9796658907298372
Label-only star,forest k978 l0,BRCA,1000.0,1,dp_quantile,32,dp_quantile32/k978_l0,pgm_forest_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000,k_label=978,l_pairs=0,n_bins=32,structure=forest",23195d2851c2a181,0.8305887193882856,0.1348169878688967,0.0495783940862132,0.9964390289746702,0.5346011649585524,0.9898303120951348,,0.9999473346043248
Label-only star,forest k978 l0,COMBINED,10.0,1,dp_quantile,16,dp_quantile16/k978_l0,pgm_forest_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,k_label=978,l_pairs=0,n_bins=16,structure=forest",5e54121cda28d75d,0.908986651050002,0.1258029275995456,0.1213993964073485,1.0,0.5114186087718183,0.6154765526533096,,0.6670874607595021
Label-only star,forest k978 l0,COMBINED,10.0,1,dp_quantile,32,dp_quantile32/k978_l0,pgm_forest_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,k_label=978,l_pairs=0,n_bins=32,structure=forest",43c0f50f07315798,0.8793914943986684,0.1303530801135303,0.1289945412009719,1.0,0.5105062567490313,0.7024411852218364,,0.7661443515413702
Label-only star,forest k978 l0,COMBINED,1000.0,1,dp_quantile,16,dp_quantile16/k978_l0,pgm_forest_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000,k_label=978,l_pairs=0,n_bins=16,structure=forest",d1a34ffa17431d97,0.9503843633922504,0.1264032175997667,0.0608651678602505,0.9998692740951473,0.5165179511696092,0.6316528315007172,,0.6751251182647592
Label-only star,forest k978 l0,COMBINED,1000.0,1,dp_quantile,32,dp_quantile32/k978_l0,pgm_forest_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000,k_label=978,l_pairs=0,n_bins=32,structure=forest",5a7d1cd91668959c,0.9485196511526088,0.1268593251435074,0.0472589570409522,0.999871548367023,0.5168679814253285,0.7434886683137367,,0.8249741739854304
PQRS (Steven's k-way),"(50,15,5)",BRCA,10.0,1,dp_quantile,8,dp_quantile8/pqrs_50_15_5,pgm_pqrs_retry,"pgm@binning=dp_quantile,budget_weights=0.3-0.5-0.12-0.08,edge_estimator=threshold,n_2way=50,n_3way=15,n_4way=5,n_bins=8",0a27c3363ba194ac,0.5990326023016566,0.1516950795373255,0.4488264934892223,1.0,0.5377821548573294,,,
PQRS (Steven's k-way),"(50,15,5)",BRCA,1000.0,1,dp_quantile,8,dp_quantile8/pqrs_50_15_5,pgm_pqrs_retry,"pgm@binning=dp_quantile,budget_weights=0.3-0.5-0.12-0.08,edge_estimator=threshold,epsilon=1000,n_2way=50,n_3way=15,n_4way=5,n_bins=8",a72f60ce7ffeb2fc,0.7686099520983334,0.1332262699367255,0.0968694459830033,0.9951785838328612,0.5358124690590801,,,
PQRS (Steven's k-way),"(50,15,5)",COMBINED,10.0,1,dp_quantile,8,dp_quantile8/pqrs_50_15_5,pgm_pqrs_retry,"pgm@binning=dp_quantile,budget_weights=0.3-0.5-0.12-0.08,edge_estimator=threshold,n_2way=50,n_3way=15,n_4way=5,n_bins=8",90719ab287d3c76f,0.8786434690175948,0.1393283518289091,0.1139333968278541,1.0,0.5094571689338955,,,
PQRS (Steven's k-way),"(50,15,5)",COMBINED,1000.0,1,dp_quantile,8,dp_quantile8/pqrs_50_15_5,pgm_pqrs_retry,"pgm@binning=dp_quantile,budget_weights=0.3-0.5-0.12-0.08,edge_estimator=threshold,epsilon=1000,n_2way=50,n_3way=15,n_4way=5,n_bins=8",967248faece97576,0.9179877603178056,0.134215924119581,0.0819968861361092,0.999851718518446,0.5229274832256274,,,
Star (last year's winner),,BRCA,10.0,1,dp_quantile,4,dp_quantile4_star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold",7d246b175a5da592,0.6309067555195571,0.1521449765942338,0.4493922550128489,1.0,0.5196810583637914,0.5917589188847575,,0.7169129651671073
Star (last year's winner),,BRCA,10.0,2,dp_quantile,4,dp_quantile4_star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold",06fd1ba702f8bd14,0.7098352467393207,0.1547006547823661,0.441465471416135,1.0,0.52567438039162,0.5633880702345717,,0.6763816766555367
Star (last year's winner),,BRCA,10.0,3,dp_quantile,4,dp_quantile4_star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold",96a01bdcdf1fab4e,0.6508014467242981,0.1468044845512757,0.4431352160653174,1.0,0.5037181769346633,0.5662688673780005,,0.710735314254416
Star (last year's winner),,BRCA,10.0,1,dp_quantile,8,dp_quantile8/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,n_bins=8",e6ad6e46dc3d5d20,0.6159031323324392,0.1490039830160682,0.4405810791250718,1.0,0.5216876099390135,0.5881039404249044,,0.7617838822823075
