attack,tag,generator,auc_mean,auc_std,auc_count,aupr_mean,aupr_std,aupr_count,tpr_at_fpr_0.01_mean,tpr_at_fpr_0.01_std,tpr_at_fpr_0.01_count,tpr_at_fpr_0.1_mean,tpr_at_fpr_0.1_std,tpr_at_fpr_0.1_count,row
mahalamia,aux_ridge0.0001,cvae,0.969807507493412,0.004659518430970768,10,0.9925541891685821,0.0012047535990044973,10,0.7945249054656147,0.042558899894424594,10,0.9111534774960764,0.013789713325185523,10,mahalamia
mahalamia,aux_ridge0.0001,mvn,0.999955633651353,7.51247739247096e-05,10,0.9999893015306253,1.795399167665703e-05,10,0.9997706422018349,0.0004835286942153489,10,0.9997706422018349,0.0004835286942153489,10,mahalamia
mahalamia,aux_ridge0.0001,nd,0.8209622387656823,0.023688654656438053,10,0.9444237292587419,0.008757058718965354,10,0.22336947934989831,0.03462196408142527,10,0.4768074763795701,0.055789586778067064,10,mahalamia
mahalamia,aux_ridge0.0001,pgm,0.4976552219098918,0.01133057812754714,6,0.7993039289108778,0.01064464472877539,6,0.01434956480828035,0.006842220968760987,6,0.09910574158143647,0.02162962812097917,6,mahalamia
mamamia,k2_1w_2w,cvae,0.5233637577521885,0.01304989364300478,10,0.8200601481391037,0.0062204262803109475,10,0.03283134433688996,0.009368813883422663,10,0.1248786062629688,0.02193835912775166,10,mamamia
mamamia,k2_1w_2w,mvn,0.5423069059672223,0.016678398848313045,10,0.826358459817855,0.009786373762952084,10,0.02180979365697972,0.00817425335244398,10,0.1384217760878037,0.02795922336827816,10,mamamia
mamamia,k2_1w_2w,nd,0.5275897650118584,0.01082959059291513,10,0.8144558352556679,0.004590365883013637,10,0.017677666712309963,0.008159608382638331,10,0.11868963229020738,0.010374361721872992,10,mamamia
mamamia,k2_1w_2w,pgm,0.5041535634191436,0.006220614183280324,6,0.801789927250144,0.001937589411497126,6,0.011861344301779682,0.006231932700218565,6,0.09603754340506356,0.006597666437965959,6,mamamia
melomia_cvae,k30_n50,cvae,0.7980171114481804,0.022326697468226353,10,0.9434489952895593,0.00702330521253536,10,0.3292053318446581,0.02173462240438214,10,0.5181353290007268,0.04471133873271941,10,melomia_cvae
melomia_cvae,k30_n50,mvn,0.5527783423195384,0.015667967046943194,10,0.828288500633892,0.00974415397533142,10,0.02318936369668938,0.010919166285289734,10,0.14164147505240204,0.023232334358642658,10,melomia_cvae
melomia_cvae,k30_n50,nd,0.5628003511155818,0.03334120459758396,10,0.8417492363057365,0.016392817225630813,10,0.03948272048367894,0.010297146698135418,10,0.18090537081705088,0.047558904758905694,10,melomia_cvae
melomia_cvae,k30_n50,pgm,0.49075423181016103,0.015553690829837968,10,0.7983805585392959,0.00752254527601499,10,0.014235193124005879,0.011624123138757176,10,0.09527696731585542,0.021329709201604444,10,melomia_cvae
melomia_nd,k30_n600,cvae,0.8238515691593967,0.05678042234452048,10,0.9495052349785287,0.02205067941933203,10,0.4024215548931419,0.1409404603674594,10,0.5564615173953802,0.1331467125783658,10,melomia_nd
melomia_nd,k30_n600,mvn,0.876091260976063,0.06871897489136328,10,0.9545209605659297,0.0323155332789595,10,0.2185403258934684,0.1178721656513233,10,0.5725157732860047,0.19024388555770605,10,melomia_nd
melomia_nd,k30_n600,nd,0.858363227215069,0.05352650721603759,10,0.9590347170611349,0.018362582679724824,10,0.3289667576022498,0.09832448541583028,10,0.6223530372133685,0.1129614654700187,10,melomia_nd
melomia_nd,k30_n600,pgm,0.4883273848941957,0.025085489358756517,10,0.8009543646192245,0.012593903866623343,10,0.016528244451700518,0.009453571840685782,10,0.10950478728446682,0.016143679061782084,10,melomia_nd
