attack,tag,generator,auc_mean,auc_std,auc_count,aupr_mean,aupr_std,aupr_count,tpr_at_fpr_0.01_mean,tpr_at_fpr_0.01_std,tpr_at_fpr_0.01_count,tpr_at_fpr_0.1_mean,tpr_at_fpr_0.1_std,tpr_at_fpr_0.1_count,row
mahalamia,aux,cvae,0.8911414862893045,0.041397881808098745,10,0.9648517265386845,0.017576045466041624,10,0.33859925847122885,0.18633369035316613,10,0.6439208333772212,0.15841592950509703,10,mahalamia
mahalamia,aux,mvn,0.9282330048646807,0.01825433744801876,10,0.9815865165005704,0.005364543453802133,10,0.6311018127429191,0.07345672015327914,10,0.7922368573505093,0.07715670668422142,10,mahalamia
mahalamia,aux,nd,0.8059283081744024,0.0235004478979065,10,0.9393997770857879,0.009271164268611387,10,0.2247374630025595,0.05064508303350608,10,0.4426094650249107,0.04962223155218068,10,mahalamia
mahalamia,aux,pgm,0.4973694615763386,0.010219827751134341,6,0.801420359832936,0.006505898575413531,6,0.014539160232710784,0.01137970523327881,6,0.10063237973856896,0.0159601487923109,6,mahalamia
mamamia,k4_1w_2w,cvae,0.5280279471713174,0.011390157260047426,10,0.8251847925997895,0.006157484450709328,10,0.03604683006983428,0.021633720464176092,10,0.136364929059712,0.014842407490935409,10,mamamia
mamamia,k4_1w_2w,mvn,0.5203997953961512,0.01381688846765732,10,0.8135389482998882,0.004093214352295469,10,0.01606847554745672,0.00524126921503896,10,0.1108846206511549,0.018524265684316976,10,mamamia
mamamia,k4_1w_2w,nd,0.5388289147875354,0.016885028589428,10,0.8251344032876426,0.005976914095038202,10,0.02594192060164942,0.0022524004549891235,10,0.1324642665290344,0.01496105442339525,10,mamamia
mamamia,k4_1w_2w,pgm,0.5014375468740224,0.00442806485855868,6,0.8021436093312865,0.0035362262037844086,6,0.019323591990646566,0.00964610737115655,6,0.10177697433790817,0.01241863716739523,6,mamamia
melomia_cvae,k30_n50,cvae,0.7980171114481804,0.022326697468226353,10,0.9434489952895593,0.00702330521253536,10,0.3292053318446581,0.02173462240438214,10,0.5181353290007268,0.04471133873271941,10,melomia_cvae
melomia_cvae,k30_n50,mvn,0.5527783423195384,0.015667967046943194,10,0.828288500633892,0.00974415397533142,10,0.02318936369668938,0.010919166285289734,10,0.14164147505240204,0.023232334358642658,10,melomia_cvae
melomia_cvae,k30_n50,nd,0.5628003511155818,0.03334120459758396,10,0.8417492363057365,0.016392817225630813,10,0.03948272048367894,0.010297146698135418,10,0.18090537081705088,0.047558904758905694,10,melomia_cvae
melomia_cvae,k30_n50,pgm,0.49075423181016103,0.015553690829837968,10,0.7983805585392959,0.00752254527601499,10,0.014235193124005879,0.011624123138757176,10,0.09527696731585542,0.021329709201604444,10,melomia_cvae
melomia_nd,k30_n600,cvae,0.8238515691593967,0.05678042234452048,10,0.9495052349785287,0.02205067941933203,10,0.4024215548931419,0.1409404603674594,10,0.5564615173953802,0.1331467125783658,10,melomia_nd
melomia_nd,k30_n600,mvn,0.876091260976063,0.06871897489136328,10,0.9545209605659297,0.0323155332789595,10,0.2185403258934684,0.1178721656513233,10,0.5725157732860047,0.19024388555770605,10,melomia_nd
melomia_nd,k30_n600,nd,0.858363227215069,0.05352650721603759,10,0.9590347170611349,0.018362582679724824,10,0.3289667576022498,0.09832448541583028,10,0.6223530372133685,0.1129614654700187,10,melomia_nd
melomia_nd,k30_n600,pgm,0.4883273848941957,0.025085489358756517,10,0.8009543646192245,0.012593903866623343,10,0.016528244451700518,0.009453571840685782,10,0.10950478728446682,0.016143679061782084,10,melomia_nd
